dynamique_text|dynamique_type|annotation
la métropolisation|modif|modif
réhabilitation du site|repr|repr
le traitement de l’espace public|modif|repr
Réhabiliter ce site|repr|repr
civiliser cette voie rapide|modif|modif
en supprimant deux voies de circulation, les échangeurs dénivelés, les passages piétons souterrains sinistres et rares|destr|destr
traitement séquencé|modif|repr
plantations généreuses|crea|crea
ont redonné à ce site merveilleux son charme|repr|repr
une réhabilitation architecturale de nombreux bâtiments sur le front de mer|repr|modif
n’ai d’ailleurs pas réalisé un seul parc ou jardin|crea|repr
supprimais un|destr|destr
créaient dix|crea|crea
promise à la démolition|destr|destr
démolitions|destr|destr
la transformant|modif|modif
la remise en eau de la baie du mont Saint-Michel|repr|repr
un projet de métro automatique|crea|crea
ce projet de transport public|crea|repr
a profondément transformé la ville et son agglomération|modif|modif
le construire|crea|crea
la construction des 2e et 3e lignes|crea|crea
un traitement très ambitieux des espaces publics|modif|repr
restructuration|repr|repr
développement urbain|crea|modif
les extensions du réseau|crea|crea
Le projet d’aménagement des Deux-Rives|crea|repr
créer une ville nouvelle|crea|crea
réalisé|crea|destr
les nouvelles limites urbanisables|crea|destr
qualifie|modif|destr
renouvellement de l’autre|repr|repr
de nouvelles formes urbaines construites|crea|crea
Ces nouvelles formes urbaines|crea|modif
le retraitement de l’autoroute A4|repr|modif
végétaliser 100 ha de toiture et à planter 20 000 arbres|modif|crea
la création de logements flottants|crea|crea
va transformer un magnifique bâtiment de centre-ville, ancien musée d’art moderne|modif|modif
en réalisant la « ville jardinée »|crea|maint
Un lieu ouvert|crea|maint
est devenu un espace de liberté|modif|repr
évolutions de la rue|modif|modif
réaménageons actuellement ce site éventré|repr|modif
en raccourcissant l’autoroute du Sud|modif|modif
se construisent|crea|crea
la création de métropoles|crea|crea
la disparition des départements|destr|destr
Le traitement des espaces publics|modif|repr
ai beaucoup réalisé|crea|repr
réaliser en enrobé des trottoirs piétons|crea|crea
créent une canopée|crea|crea
font évoluer les profils des voies|modif|modif
