dynamique_text|dynamique_type
la ville nouvelle|crea
naissance du Périphérique|crea
est construit|crea
inventer des situations urbaines stimulantes et remplies d’usages|crea
notre projet de transformation de la porte de Montreuil|modif
nivellement parfois complexe qu’il a engendré|modif
transforme le sol|modif
transformation|modif
non par effacement|destr
créer un habitat|crea
la mutation de la tour Bois-le-Prêtre|modif
réaliseront|modif
en installant, dans la topographie de l’enceinte de Thiers, un édifice-sol pour les véhicules municipaux et pompiers et un stade|crea
perdurent|maint
perdurer|maint
en se transformant|modif
façonnent le relief|modif
plissent|modif
perforent|modif
produisent autant de ruptures à franchir que de situations à exploiter|modif
valorisent les sols construits|modif
une nouvelle topographie créée|crea
nivellement des franges du site|modif
la transformation de la place de la République|modif
la création d’une très vaste aire piétonne|crea
définir un espace public clair, lisible, évolutif et surtout ouvert à tous|crea
nivellement|modif
la mise à plat et la discrétion du sol urbain|modif
continuer de concevoir certaines places majeures|crea
une nouvelle infrastructure territoriale, le Grand Paris Express|crea
pourrait réorganiser le système métropolitain existant|repr
l’aménagement de la friche Saint-Sauveur|crea
le réaménagement de l’autoroute E40|repr
la réalisation du village des médias des Jeux olympiques de 2024|crea
l’arrivée des gares du nouveau métro|crea
atterrissage des futures gares|crea
FUTUR MÉTRO DU GRAND PARIS EXPRESS|crea
transformer la matière terrestre|modif
fabriquées|crea
les étapes successives de poldérisation de la rive droite marécageuse|crea
la transformation de l’ancienne gare de marchandises|modif
un décor fixe, immuable, indépassable, une « Nature » ancestrale aussi insensible qu’éternelle|maint
faire durer|maint
a déjà été transformé|modif
