dynamique_text|dynamique_type|annotation
la ville nouvelle|crea|modif
naissance du Périphérique|crea|crea
est construit|crea|crea
inventer des situations urbaines stimulantes et remplies d’usages|crea|maint
notre projet de transformation de la porte de Montreuil|modif|modif
nivellement parfois complexe qu’il a engendré|modif|modif
transforme le sol|modif|destr
transformation|modif|modif
non par effacement|destr|destr
créer un habitat|crea|crea
la mutation de la tour Bois-le-Prêtre|modif|modif
réaliseront|modif|repr
en installant, dans la topographie de l’enceinte de Thiers, un édifice-sol pour les véhicules municipaux et pompiers et un stade|crea|modif
perdurent|maint|maint
perdurer|maint|maint
en se transformant|modif|modif
façonnent le relief|modif|destr
plissent|modif|repr
perforent|modif|destr
produisent autant de ruptures à franchir que de situations à exploiter|modif|destr
valorisent les sols construits|modif|maint
une nouvelle topographie créée|crea|crea
nivellement des franges du site|modif|destr
la transformation de la place de la République|modif|modif
la création d’une très vaste aire piétonne|crea|crea
définir un espace public clair, lisible, évolutif et surtout ouvert à tous|crea|modif
nivellement|modif|destr
la mise à plat et la discrétion du sol urbain|modif|destr
une nouvelle infrastructure territoriale, le Grand Paris Express|crea|crea
pourrait réorganiser le système métropolitain existant|repr|modif
l’aménagement de la friche Saint-Sauveur|crea|modif
le réaménagement de l’autoroute E40|repr|modif
la réalisation du village des médias des Jeux olympiques de 2024|crea|crea
l’arrivée des gares du nouveau métro|crea|crea
atterrissage des futures gares|crea|crea
FUTUR MÉTRO DU GRAND PARIS EXPRESS|crea|crea
transformer la matière terrestre|modif|destr
fabriquées|crea|destr
les étapes successives de poldérisation de la rive droite marécageuse|crea|modif
la transformation de l’ancienne gare de marchandises|modif|modif
un décor fixe, immuable, indépassable, une « Nature » ancestrale aussi insensible qu’éternelle|maint|destr
faire durer|maint|maint
a déjà été transformé|modif|modif
